"","x"
"616","Aside from the confirmed cases, can we also know how many were tested (or are being tested)?"
"617","Just because you can't see it doesn't mean it's not there. Protect yourself and your loved ones by properly washing your hands with soap regularly, avoiding crowded places,  going to the hospital if you're not feeling well, and being HONEST with your medical history. "
"618","Be safe where you go no matters what you do.. "
"619","Praying for the medical professionals!!! Laban laaaannngggggg "
"620","He is Mighty To Save <U+0001F64F>
"
"621","we pray today for families who need to manage a difficult situation, especially those families with a disabled person among them. let us pray they do not lose their peace in this moment and that they succeed in moving forward with strength and joy. "
"622","BREAKING: DOH reports 13 additional cases of COVID-19 in the Philippines upon validation of laboratory results confirmed on March 13. This bring the total number of cases to 111 as of March 14, 2020. | via Shai Lagarde, Stand For Truth

"
"623","UPDATE | Total COVID-19 cases rise to 111. Stay safe! "
"624","No matter how prepared the government is, if the people do not cooperate, we’re done for. Join the fight against "
"625","Mayor Relampagos releases Public Advisory 05 considering those who travelled or returning from Metro Manila, countries, cities, and municipalities with positive COVID-19 cases as PUMs. "
"626","Now this is classy. "
"627","With everyone working from home, schools closed, and people getting quarantined. 9 months from now all the "
"628","What will you do if you found out that you’re positive of the virus? Will you tell or no??

 "
"629","Kidding aside about "
"630","For those who are allowed to work from home amidst the community quarantine, read these tips on how you can accomplish your tasks productively! "
"631","Please stay safe and avoid going out if you can. <U+0001F64F><U+0001F3FB> Let’s all be responsible citizens and help stop the spread of this virus. "
"632","“We are human being too. Natatakot din kami for our safety but we have to keep going because this profession is our calling. People of the Philippines, what we are asking is your full support and cooperation. STOP DISCRIMINATING AND ISOLATING US.” "
"633","I am also interested in how this will be implemented and work out. As confusing and hard the new policy might be, let's try to comply for the sake of our health and safety. Wag munang pasaway, nakakamatay. 

"
"634","Lea Salonga, asking the right questions and saying the right words. 

"
"635","From 98 to 111. The virus disseminates too fast. Please pray and stay hygienic!!! <U+0001F62D>
"
"636","Please <U+0001F64F> "
"637","Ghana Records It's Third Case of COVID-19?

The Kumasi Centre for Collaborative Research into Tropical Medicine at the Kwame Nkrumah University of Science And Technology (KNUST) has confirmed a third case of the coronavirus in Ghana.
"
"638","Let's help our front-liners! Please donate what you can, even a small amount will be a big help.
"
"639","PGH Medical Foundation
"
"640","If it was addressed properly, people wouldn't panic. And the lockdown? Please do make it clear. This lockdown is causing business to go downhill. As much as he wants to do everything for the people, please consider the consequences of your words. 
"
"641","Just wanna salute all the health workers putting their lives on the line for the Covid-19.
"
"642","EXPOSE YOUR PHONE GAME

1 klasmeyt
2 Ingat ka
3 Si Maam Maguyon
4 lahat active
5 how to cook french toast
6 easy to cook foods
7 si "
"643","Wash your hands...
Stay healthy.
Best way to teach your kids...
"
"644","That's thousands of drivers without income. Praying and hoping that govt funds be allocated for those that will lose their income. "
"645","Protect Us Lord <U+0001F64F>
"
"646","Got these from Clubby Aggy's facebook account shared by a friend of mine. Hope this helps. "
"647","Cooperation is the key for everyone’s safety. Let’s all follow the Universal Precautionary Measures to avoid the spread of this virus. Take this as serious as we can. <U+0001F44D> "
"648","The reason why there’s a military is for a checkpoint that will support our DOH’s effort to not spread the virus to another places. At the end of the day, we’re all responsible for ourselves. Discipline and cooperation are vital in this hard times.  "
"649","Please stay where you are, dont go outside of. ypur house if posible, 98 case increase to 110 case of "
"650","The Provincial Government of Eastern Samar will impose a Transportation Curfew, effective March 15, from 12 midnight until 4 AM for INBOUND private and public utility vehicles. 
Checkpoints will be established in Lawaan, Taft and Arteche.
"
"651","Facts : "
"652","Please include in our prayers all our health workers in these trying times. Keep safe, everyone. <U+0001F64F><U+0001F1F5><U+0001F1ED><U+0001F30F> "
"653","But the best action we can do is pray and talk to our Almighty God.

Psalms 56:3 ""What time I am afraid,I will trust in thee""

"
"654","Stay hydrated and eat nutritious foods to combat "
"655","Stay dehydrated and eat nutritious foods to combat "
"656","Please donate!<U+0001F64F> "
"657","Be safe Everyone "
"658","Dear "
"659","Today, I am just grateful for the chance to know the opinion of our resident experts. I am humbled by the wisdom we have in this limitless place, by the dedication of our health front-liners, and the ‘confusion’ in our government. 

Sana lahat ligtas at maayos. "
"660","community quarantine is different from martial law. Gets "
"661","Oh Thank the Lord there is One Powerade left! "
"662","Manila, please obey the government before it's too late for everyone and the whole country. Follow the guidelines provided by your city. Obey, stay safe &amp; God bless. "
"663","It's not surpirising anymore that the number of confirmed cases of covid-19 are doubled. Some people who are in contact with those who are claimed as positive may be still asymptotic and still roaming around the city <U+0001F644> "
"664","Hold on
Stay strong
Have faith
Trust God
Keep Believing
Never Lose Hope

"
"665","2 hours nalang community quaranteen "
"666","Earlier God impressed to me to have this commitment to pray every 10pm as a rally for "
"667","Look at where everyone's turning to now for timely information and updates re: the "
"668","Keep safe everyone. <U+0001F493>
"
"669","Lord God, save us and your world from this virus. We glorify and praise you. <U+2763><U+FE0F>
"
"670","save the world together. Retweet now.<U+2728>

"
"671","Stay safe oomfies <U+0001F98B> "
"672","May God protect all the frontline health workers esp. doctors, nurses, pharmacists, medtechs etc. who continues to fight against COVID-19. Please give them the priority to wear PPE. Do not hoard because they needed it the most. Pray for their safety and for everyone. "
"673","Stay safe everyone <U+0001F48C> "
"674","Stay safe oomfs (<U+10E6><U+25D5><U+072B><U+25D5><U+10E6>) "
"675","Let’s expect na days from now, dodoble or mag triple ang positive cases natin dahil sa local transmission cases.The faster the ma-comfirm ng DOH yun,mas better. Para ma-prevent natin, we should detect the scope of spread "
"676","Im not worried because I know everything will be fine. God will protect me, my family, my friends, my workmates, my neighbor, and you. <U+0001F607><U+0001F64F> "
"677","Who can say what's possible with 2020 anymore? I expect a DRAGON. Color RED. "
"678","These are the most important things right now. "
"679","<U+0001F1F5><U+0001F1ED>Let us all unite in fighting Covid 19!<U+0001F4AA> Be safe everyone! <U+0001F64F><U+0001F1F5><U+0001F1ED>

"
"680","keep safe everyone
"
"681","JUST IN: OIC City Mayor Kifli Salliman convened different stakeholders and agencies tonight to discuss measures relating to "
"682","Looking forward to ""Congratulations Batch 2019-2020"" than ""New cases of Covid-19 increased to...""
Laban tayo Pinas!!! This will end soon. 
"
"683","<U+0001F4E3> READ UP: Quarantine Advisory due to confirmed "
"684","Salute to all the hardworking, patient, and selfless health workers who are in the frontlines during this "
"685","<U+0001F630> I wish for the hoarders &amp; profiteers to donate some of their mask and alcohol stocks to our health workers. We can't afford to lose them in this trying time.
"
"686","Lord heal our land <U+261D><U+FE0F> "
"687","Happy thoughts in a day with 111 total cases, as of 930pm         
"
"688","Nice move "
"689","what?!? there are 111 confirmed cases already? ph moas be safe and drink vitamins to strengthen your immunity "
"690","Keep safe MOTHER EARTH, keep safe LOVING THINGS <U+0001F30D><U+0001F468><U+200D><U+0001F468><U+200D><U+0001F467><U+200D><U+0001F467><U+0001F415><U+0001F333>"
"691","Due to many lockdowns around the world, there are less cars, less planes, less pollution. While we are panicking about the COVID19, mother earth is healing<U+2764><U+FE0F><U+0001F60D>

"
"692","Yung rate ng recovery sa Philippines ay sobrang baba! How can we even trust this government?! "
"693","KAPWA ko PILIPINO. For whatever is happening right now, remember we have a BIGGER GOD,the best thing we can do is cooperate, stay healthy, watch out for each other, and pray that this will be over soon. Let's help one another. After all, we're fighting the same battle."
"694","We shall not be racist to one another, instead pray for each other. Remember God wants us to trust him and for those who believe in him will be in a right hand. I know God has a purpose so trust him no matter what   "
"695","Not iKON related but i badly want to share <U+0001F60A>

I rode this jeepney earlier.. see that alcohol bottle?!!

 MAHIYA SANA LAHAT NG HOARDERS NG ALCOHOL AT MASK!!!

Godbless you Kuya. Your good deed may not be rewarded here on earth but  for sure God see's it all .<U+0001F64F><U+2665><U+FE0F>

"
"696","FROM 33 CASES, 111 CASES NA IN JUST THREE DAYS. AND I'M SURE MARAMI PANG UNREPORTED CASES. DEAR GOD, BLESS US! "
"697","Be safe po<U+0001F60A>
"
"698","Please read<U+203C><U+FE0F> "
"699","Do yourself a favor. Just please cooperate with the government’s effort in controlling this virus. We all in this fight together. The success lies within us. "
"700","Lord heal our land <U+261D><U+FE0F> "
"701","CURE MANY, not curfew! Again, we need MEDICAL and not military reinforcements. "
"702","Yes, but if you would put the "
"703","Pls this sugar is looking for coffee , any melanin available?? <U+0001F61B><U+0001F61B><U+0001F60B><U+0001F60B>
"
"704","STAY SAFE FAM "
"705","Keep Safe Everyone.<U+0001F496> "
"706","Everything is not in right place after 2012.

Did Earth truly ended last 2012? <U+0001F914><U+0001F622>

"
"707","i hope everybody is fine God pls Guide us. "
"708","What about those daily wage earners na no work no pay? I hope "
"709","People always react strongly as the number of infected individuals increases. Like, chill out people..It is PERFECTLY NORMAL as the number of health testing kits for COVID-19 becomes more available to the masses WE WILL NEVER KNOW THE EXACT NUMBER OF INFECTED PEOPLE "
"710","Keep safe everyone "
"711","Dear World! How is the lock down?

— Kashmir

"
"712","Dr Paddy Mallon - professor of microbial diseases UCD tells it as it is
"
"713","Please give the masks to those who actually need them (sick, eldelry, compromised immune system, those who are travelling, and those working in the medical field) "
"714","Again, people from PH, there is no need to wear Face Masks if you are not sick, an elderly person, or a person whose immune system is compromised. Boost your immunity, eat healthy, be hygienic and sanitize frequently, and you’ll be fine! "
"715","Keep safe world. "
"716","Covid-19 prevention emoji version:

<U+0001F637>

<U+0001F927>

<U+0001F64A>

<U+0001F95B>

<U+0001F3E1>

<U+0001F6BF>

<U+0001F912><U+2192><U+0001F468><U+0001F3FB><U+200D><U+2695><U+FE0F>

<U+0001F3C3><U+0001F9D8><U+0001F3FC><U+200D><U+2642><U+FE0F><U+0001F3CB><U+0001F3FB><U+200D><U+2642><U+FE0F>

<U+0001F347><U+0001F349><U+0001F95D><U+0001F345><U+0001F34B><U+0001F34C>

<U+0001F6B6><U+0001F3FB><U+200D><U+2642><U+FE0F>&lt;-------------&gt;<U+0001F6B6>

<U+0001F6AB><U+0001F91D>

<U+0001F932><U+0001F4A7>

"
"717","Keep yourself safe and pray, that’s the only way

"
"718","Look how the people of GENERAL SANTOS CITY TAKING THE CURFEW implemented by the Mayor.This kind of unity toward this crisis is a must.SANA ganito rin sa inyo.LABAN LANG PILIPINAS! "
"719","Im scared. Sana tuloy na wfh starting monday. Please. "
"720","How smart this girl.<U+0001F923><U+0001F923>
"
"721","Community quarantine na nga Yet they chose to leave Metro Manila and take the risk of infecting their love ones. Hay life<U+0001F611>

"
"722","be safe everyone<U+0001F60A> 
"
"723","No one knows what will happen next, appreciate what is now. Instead of panicking, be knowledgeable of things. :))
"
"724","Province of Batangas is now at Quarantine Advisory. Stay safe guys! "
"725","New banner message on my blog... again KEEP SAFE EVERYONE "
"726","SLEX (Manila bound): HEAVY traffic from Mamplasan to Alabang, hours before the start of the community quarantine in Metro Manila "
"727","Please stay at home everyone and be safe "
"728","A Catholic charismatic group in the Philippines inviting their members to a healing mass. Despite community quarantine imposed in Manila, apparently essential work meetings and religious activities may continue as long as peoole stay 1 metre away from each other. <U+0001F644> "
"729","ACCOUNTABILITY IS NOT NEGATIVITY. WE WANT TO MAKE SURE GOVERNMENT IS ACCOUNTABLE ON HOW THEY HANDLE THE "
"730","Might as well read this.. 

"
"731","The numbers are increasing, we cannot afford a total lockdown. Many workers are earning on a day to day basis, they dont even have money to hoard foods, what more if they wont even be allowed to earn? "
"732","Please help our front liners by donating for their PPE or/and Food and Care Package!!!

"
"733","The leader we deserve. "
"734","Pls guide us and protect us. And jesus name amen <U+0001F64F> "
"735","As of today, additional 13 cases been confirmed by the DOH and this brings a total number of 111 cases. <U+0001F62D> "
"736","thank you "
"737","The world is intelligent enough to heal itself...and now it's healing. 

"
"738","From 59 to 64 to 98 to 111 confirmed cases in the Philippines of "
"739","Please shorten the class suspension<U+0001F494><U+0001F625>
"
"740","SPREADING SO FAST!!!! GUYS KEEP SAFE AND ALWAYS PRACTICE PROPER HYGIENE!!! "
"741","PRAY FOR THE WHOLE WORLD "
"742","stay safe, everyone! <U+2728> "
"743","Let's follow the government it's for our own safety

"
"744","Keep safe, MNLoves! "
"745","Just remember the word ""<U+0001D5E0><U+0001D5E1><U+0001D5DF>48""

M-ake sure to check people around you
N-ever allow physical contact
L-eave some alcohol, face masks and hand sanitizers 
4- those who need it
8- is not bad to care for the others

"
"746","As the number of confirmed Covid-19 cases and deaths increased, the Department of Health (DOH) reported a high number of health personnel exposed to a confirmed Covid-19 case, who died at the Philippine Heart Center (PHC). |Read: "
"747","UPDATED. The DOH announced 13 new cases of "
"748","This is how a REAL President operates.
"
"749","With 47 new cases today, the total went up from 64 yesterday to 111 today. Seeing these numbers of cases rapidly increasing, I really hope the government is taking the right action for OUR people. "
"750","Number of confirmed cases <U+0001F1F5><U+0001F1ED>: 111 <U+0001F614>
"
"751","Let us also appreciate our hardworking policemen and soldiers .

"
"752","Let's pray for everyone's safety and healing <U+0001F64F>
"
"753","As of 03.13.2020 this evening.

a total of 111 positive cases (source. DOH) 
 tumataas ng tumataas ang bilang. LORD HEAL THE WORLD. 

"
"754","The future of this country depends on how much we, as citizens,  can abide by the rules. 
"
"755","Pray for the Philippines <U+0001F1F5><U+0001F1ED> Pray for the whole world <U+0001F622>
"
"756","Working from home in Corona Virus be like. <U+0001F447><U+0001F3FD><U+0001F447><U+0001F3FD><U+0001F447><U+0001F3FD> "
"757","BREAKING: The Department of Health has reported 34 new cases of COVID-19 in the country, bringing the total number of cases to 98. | via Virgil Lopez, GMA News Online

"
"758","In the meantime, the confirmed "
"759","Folks turn off the TV take a deep breath and calm TF down. This too shall pass "
"760","tomorrow is my 19th birthday and all i'm praying for is good health to everyone and i really hope that this crisis will put to an end ~

"
"761","NLEX Southbound (going Metro Manila) at the moment. Seems like whole half southbound (and northbound) of NLEX is on a stand still. 

My question, what happens if abutan sila lockdown? Will they get turned away immediately without valid purpose? "
"762","Aydo 111 confirmed cases. <U+0001F926><U+0001F3FB><U+200D><U+2642><U+FE0F> "
"763","98 confirmed cases <U+2639><U+FE0F> "
"764","Stay calm. Always be vigilant with the sorroundings. Handwashing is still the best preventive measure we can do.    "
"765","Keep safe everyone!

"
"766","What? 
Stay safe Philippines!
"
"767","Expect the numbers to increase. It’s just getting started. "
"768","Dude this shit is really getting out of hand. I really hope the government is taking the right action for our people.  "
"769","I am asking every Filipino citizen to please stop the hate. Covid19 is a serious issue and we need the cooperation of every Filipino. We can stop this virus from spreading if we unite as one. "
"770","The number of confirmed cases of covid19 rises to 111. So please lets cooperate. Stop the hate a d stop joking. Take this issue seriously. Please lang, isantabi po muna natin ang political issues or hate about the administration. We need to unite."
"771","The government needs our full cooperation. I am begging you to please cooperate. Let us unite us one. Instead of blaming someone, can we just spend our time by praying. Magdasal po tayo.

"
"772","Heal the world
Make it a better place
For you and for me
And the entire human race

Lord, please heal the world. 
Magdasal. Manalig. Magtiwala. 
May hangganan din ang lahat. 
"
"773","34 NEW CASES OF COVID-19
TOTAL OF 98 IN THE PHILIPPINES "
"774","13 NEW CASES OF COVID-19
TOTAL OF 111 IN THE PHILIPPINES "
"775","JUST IN: 13 new cases. Total case in the Philippines is 111.
"
"776","111 confirmed cases of COVID 19 in the Philippines <U+0001F614> "
"777","take care y'all and don't stop praying<U+0001F64F><U+0001F3FC> "
"778","From 98 to 111 confirmed cases.

But instead of spreading Negativity, why not PRAY?
PRAY for everyone.
Laban lang! Kakayanin natin to! 

"
"779","Italy has been on a lockdown for a few days now. But they still have some fun and positivity in their country. We can be like this as a nation. "
"780","This is the truth about our society. Even at the very face of danger, some still tries so much to push their political bullshit! Ang sarap sabihin sa mga pagmumukha nila mismo na ""putang ina mo!"". Please lang, for the sake of the country! Stop!

"
"781","God, all saints and angels please help us. "
"782","Community Quarantine set to begin today. Lets all be vigilant and responsible. Pls post only repsonsible and helpful content. With Gods help, we can overcome this. God bless us all. "
"783","I hope it will end soon <U+0001F64F><U+0001F3FC> "
"784","111 na. Stay safe. 03/14/20
"
"785","1987 PC who, unity who, humanity who
"
"786","Alexa, please play ""Work From Home"" by Fifth Harmony. "
"787","Apparently, 111 covid cases, there are still employers that just don't care at all. "
"788","Always wash and sanitize our hands whenever we hold money. Remember, money is spinning in the hands of many people so we should be careful. God bless us!<U+0001F607>

*just a thought, baka makatulong lang<U+0001F609>

"
"789","DOH: To prevent the spread of Corona virus, please stay at home, minimise physical contact, practice social distancing, and avoid large crowds.

Me, being an introvert: I’ve been preparing for this moment my entire life. 

"
"790","Prevention is better than cure.

"
"791","Stay Safe Humanity. Let’s just spread love and not the virus. "
"792","Question of chances. I can survive this virus but what about my mom who is 72 years old diabetic? How about my friends who are immuno compromised? How about my relatives who are old? Stop bashing and let’s just follow what is being instructed. EXTRAORDINARY TIME "
"793","111 confirmed cases in my country <U+0001F1F5><U+0001F1ED><U+0001F613>
"
"794","DOH confirmed 13 new cases bringing the total number of cases to 111 "
"795","Praying that "
"796","No to lakwatsa muna.

Keep safe everyone!

"
"797","Stay safe and Healthy everyone! 
"
"798","We should expect that the infected will be higher, but the important thing is we need to prevent the deaths. 
"
"799","Oh God, we know you work in ways we cannot see <U+2763><U+FE0F>

"
"800","Oh God, we know you work in ways we cannot see <U+2763><U+FE0F>

"
"801","Researchers in China develop test strips thatbcan detect coroniavirus antibody in just 15 minutes. "
"802","111 confirmed cases in the Philippines. <U+0001F614><U+0001F9A0> "
"803","Pls people. Listen and follow what the gov’t and the medical people are saying. We all need to save humanity.  "
"804","from 98 to 111, keep safe everyone!!!"
"805","Our event was only for 60 participants, but as a global health organisation, we deemed it irresponsible to continue with the in-person launch. We will now hold a digital launch which will be open to all <U+0001F680><U+0001F1EB><U+0001F1EE> "
"806","The only medicine we have right now that doesn't need money is prayer. Instead of pointing fingers, use your hands to pray. 

"
"807","Thank You Xi Jinping for "
"808","111 cases na ang COVID-19 sa Pilipinas
Stay Safe Everyone, don't forget to pray. 
"
"809","MERITOCRACY. Those holding positions in the government must be appointed according to their merits, according to their skills and abilities, not because of influence and blood ties.  cc: "
"810","prevention is better that cure. so stay safe everyone! "
"811","Jusko! COVID19 tumigil kana mag world tour please <U+0001F64F><U+0001F3FB> But please stay safe guys. I know we don’t deserve this situation, Let’s just trust GOD "
"812","“Everyone is getting paid on their salaries during community quarantine period”

Sarap sa tenga <U+2764><U+FE0F> "
"813","Thanks God<U+0001F60D> wala pang COVID19 postive dito sa amin sa Bacoor...

Keep safe everyone!
"
"814","Pleaseeee lets be more responsible as an individual. Stay at home, always wash/sanitize your hands and dont touch any part of your face. <U+0001F97A><U+0001F97A><U+0001F97A> "
"815","Keep safe everyone <U+0001F917> and dont forget to pray.<U+0001F64F><U+0001F3FB>
"
"816","To all my fellow doctors and colleagues in the heath services, 

May the Lord always bless you and keep you.

You're all modern heroes, saints, and martyrs. 

Mabuhay kayong lahat! 

"
"817","Sure wish I had that "
"818","no curfew but LGUs can impose them with an ordinance tho I cannot see the significance of a curfew to a community quarantine? "
"819","Lord heal the World<U+0001F30D><U+0001F64F><U+0001F607><U+0001F493>
"
"820","Grabe ang bilis. 47 new cases in one day <U+0001F494> "
"821","Why not cooperate and follow protocol this is for our safety. Government doing their best to eradicate or stop spreading the virus. Remember to remain calm and vigilant "
"822","Just in. Added 13 new cases of "
"823","Please be extra careful everyone. Also, don't forget to pray always "
"824","ANO BA TALAGA?!

Kanina, 8PM-5AM curfew daw. Pero ngayon, sabi ni Panelo, bahala na raw LGUs mag-impose ng curfew. We need a prepared, lucid, &amp; VERY AWAKE gov't in mitigating spread "
"825","There are many opinion to say about the president, reading this may be a help to understand.
I got this post from facebook, here's the link.
"
"826","JUST IN: As of Saturday evening,  111 confirmed cases of COVID19 in the Philippines according to DOH. 

I just wanted you to be updated. Please be safe! From 98 to 111 realquick :--( "
"827","After January, the earliest lab confirmation of a case was reported March 5. Between February 5 til then, some cases may have gone undiagnosed, leading to spread of cases now currently being observed.

Latest tally of confirmed cases at 96. 
"
"828","111 positive cases.

make a wish

"
"829","4 days later..... 111 confirmed cases na..... im- "
"830","Fck 111 positive na <U+0001F494><U+0001F62D> "
"831","Additional 13 cases to a total of 111. 47 new cases so far was added just today. At this point, we can expect it to increase even more considering local transmission and also more are getting tested. What we need to control is the increasing number of death though. "
"832","Let's not spread the Virus
Let's spread the LOVE...
Love of ourselves and others
Better stay at Home!
"
"833","At this stage, blood test and chest x-ray need to be conducted immediately.

As a reference only.  At any point of time, if do not feel well, should consult medical doctor immediately.  Thank you. "
"834","BREAKING: The Department of Health reports 13 additional cases from laboratory results confirmed on March 13, 2020. This brings the total number of cases to 111. "
"835","TL;DR: Hospitals (this post: PGH) are running out of PPEs (MASKS, gloves, etc.), most PUIs are doctors and nurses. They are accepting donations posted here. "
"836","Keep safe everyone "
"837","Be strong everyone! 

"
"838","Keep safe and stay home, guys.

"
"839","Ayan found one. Let's help, even in the smallest way we can!

"
"840","Lets not push our luck &amp; be mindful of everybody’s health, not only ours but of others. Kung tingin mo d ka dadapuan ng sakit or kaya ng katawan mo ang COVID19, think of others who cant afford to be sick, physically &amp; financially. Remember, ur sacrifice can save lives "
"841","As of now we have 111 positive cases in the country, with 8 deaths. <U+0001F622>

"
"842","Cooperate and pray harder.  "
"843","and we're down to 111, pray for th Philippines. <U+0001F614><U+0001F97A>"
"844","Okay so instead of throwing hate and talking big about the issue y don't you cooperate and follow simple rules implemented to protect your ass.

"
"845","LORD, please bless and protect all the people involved at the frontline fighting the dreaded COVID-19 virus.

Amen.

"
"846","boyfriend hyunjin coming thru
keep safe everyone
"
"847","Global CoronaVirus Update
"
"848","Don't panic.
What we need now more than ever is prayer, discipline, cooperation and a positive mind set that we will overcome all of this, healthy and well.

This is not only our battle.
Keep safe Philippines and the whole world. <U+0001F1F5><U+0001F1ED><U+0001F30F><U+0001F64F>

"
"849","Social distancing and frequent handwashing. Drink more water . Stay at home. Spend time your family. Eat healthy. Simple ways to prevent the spread of the virus. "
"850","ATTENTION BAGUIO TRAVELLERS

PUBLIC ADVISORY THREAD REGARDING residents, students, employees, and visitors coming from "
"851","From 98-111

Pray PH.

"
"852","Salute to our health workers at this time

Let us all pray for them. 

"
"853","Do not forget to take vitamin C and drink more water, eat healthy foods and please don't go outside if not needed. Keep safe kapwa ko Filipino. This will end soon. God is with us. <U+0001F64F> "
"854","13 new cases in the Philippines that brings the total of 111 confirmed cases. "
"855","Keep Safe Everyone! <U+0001F64F><U+0001F3FB>
"
"856","I’m not sure what to think but a neighbor is still celebrating a birthday...and with videoke. That microphone though. "
"857","THE REAL LIFE HEROES <U+0001F4AA> "
"858","Looking at this, we, the PH, is clearly the worst among the SE Asian nations. Considering the rate of number of deaths per confirmed cases, and the rate of recovered cases per confirmed cases. 

8:56 PM of Saturday, March 14. 

Map source: "
"859","It's not always the government. Tangina naman people, get your sh!t straight and wag matigas ang ulo. "
"860","Use social media for right info!  "
"861","Why do people still need to sell or upsell alcohols and sanitizers if they could give it for free or give at a price of low? The world don't need money rn. Let's just help each other. Let's all be vigilante.
"
"862","Keep safe everyone. "
"863","Please please pray for the doctors, nurses, and other healthcare providers. Most of us now physically, psychologically, and emotionally tired pero lumalaban pa rin para sa bayan. Pray for the well being of everybody and that this may end soon <U+0001F64F><U+0001F3FC> "
"864","Are we still allowed to get food delivered? "
"865","Stay safe people! Keep on praying<U+0001F64F><U+0001F64F><U+0001F64F> "
"866","This is the reality. So, hope everybody cooperates. "
"867","Jhons Hopkins University reports for March 13 a Total number of Confirmed "
"868","And please don't lie to the medical workers. Nothing good will come out of it. 
"
"869","This is all annoying me a bit for some reason. I’m only cooperating the best I can. Let’s just all follow the rules ok? So we can all get over it faster <U+0001F64F><U+0001F3FD> "
"870","Derp tax for your morning scrolls; starting your weekend off right. 
.
.
"
"871","Be safe everyone, let us all pray for guidance  and clarity of mind and for this chapter to be over soon.please do follow necessary  precautions better safe than sorry, ingqt everyone "
"872","Stay safe guys<U+0001F970><U+0001F617>
"
"873","Good luck and God speed Manila "
"874","Do you realize how hard it is to work knowing that your life is at risk? Pray for the doctors, nurses, and other medical staff. They need our help, our support. They should be acknowledged and appreciated. "
"875","Make an article not a novel. Read facts not fantasies. Validate news not superstitions.

 "
"876","Thank youuu "
"877","What I love about this quarantine chuchu, is I got to prepare good food for my wife.  <U+263A><U+FE0F> but let’s continue believing that "
"878","I am not from Cainta but I work in Cainta. I didn’t know the Mayor because there was no reason for me to know him. But with all this "
"879","If you hoarded bottles of alcohol and sanitizers, please do the right thing. Donate some of your stash to the hospitals. Our doctors and nurses need them. You can also donate to barangay health centers and to those who can't even afford to buy them.  "
"880","<U+0001F449>NETFLIX PREMIUM ACCOUNT (1 MONTH)<U+0001F448>

265- solo 
99- shared 

•ULTRA HD 
•4-5 DEVICES 
•WITH WARRANTY 
•NO HOLD 
•WATCH OFFLINE 
•NO RULES BEFORE LOG IN 
•PAID ACCOUNT 
•NOT FROM BLACK MARKET 
•CHANGEABLE PASSWORD AND YOU CAN ADD YOUR OWN NUMBER (FOR SOLO)<U+2764>"
"881","Praying is the only thing that I can contribute. Ctto. "
"882","Having sex with a blackdude cures corona<U+0001F917>"
"883","Heal now...
"
"884","I'm praying for the whole world! "
"885","Tuwing lalabas ng bahay, always bring alcohol, and mask (better if surgical). Always spray alcohol every 15-30 minutes. Keep safe. Spread love not virus

-eurydice

"
"886","yes i do the praying muna
"
"887","The Simpsons also predicted Metro Manila's community quarantine sksksksk
"
"888","Stay safe, friends!

"
"889","PREVENTION IS BETTER, THAN CURE! "
"890","Clean your hands always. And pray for our safety.<U+2764> "
"891","Peace and quiet place. "
"892","This is not EXO related, however, it is a must for everyone to take care of ourselves and our health. Always put yourself in a good condition. Let our PRAYERS extend into Him. Be one of those who has will to kill COVID-19. "
"893","We may lose humans because of COVID-19, but please don't lose our humanity.
"
"894","no matter how you feel about this government don't wish it to fail, especially at a time like this. "
"895","episode 94829 of “don’t trust the news” ANO BA TALAGA
"
"896","I wish the world would go back to normal. "
"897","Can't wait to hear ""Covid_19 has a cure""
"
"898","Im asking all SUPERMARKETS in Manila to please provide Online Shopping Service! But with moderation to avoid hoarders!  "
"899","72k+ recovered. There’s hope <U+0001F64F><U+0001F3FC><U+0001F64F><U+0001F3FC><U+0001F64F><U+0001F3FC><U+0001F64F><U+0001F3FC>"
"900","Accurate "
"901","hours before community quarantine in metro manila, i hope it to be safe and fast. a salute, goodluck and prayers up to all doctors, nurses, scientists, afp, pnp and military personnel. kaya natin 'to. virus lang yan, pilipino tayo! 

"
"902","May curfew man o wala, it's our own duty to stay at home except for essential travels. Metro Manila is put under community quarantine for a very reason which is to protect you and everyone and contain any transmission. "
"903","How Should Christians Prepare for the "
"904","Our faith is stronger than "
"905","COVID-19 WILL END SOON, AMEN!!! <U+0001F64F>
COVID-19 WILL END SOON, AMEN!!! <U+0001F64F>
COVID-19 WILL END SOON, AMEN!!! <U+0001F64F>
COVID-19 WILL END SOON, AMEN!!! <U+0001F64F>
COVID-19 WILL END SOON, AMEN!!! <U+0001F64F>

"
"906","This is to remind everyone how fast our good senator mobilized PRC to donate and to send Philippine-made masks to China. Now that the PHL needs masks, can we ask him the same efficiency?  "
"907","Learn from them  "
"908","ahhh guys i need help huhu may exam kame next week friday im from rizal (im near qc) satingin nyo safe parin?? huhu "
"909","Lord heal our Land Pilipinas and the whole World.<U+0001F64F><U+0001F3FF>

"
"910","Friend: I don’t appreciate being called “lazy” for choosing the work-from-home option. "
"911","Stay safe everyone! "
"912","Some people only think about their own safety and still have the face to blame the government for the way they handle covid. Perfect din kasi kayo ehh.

"
"913","This the chance for us to unite.

"
"914","COVID-19 cases around the world (from WHO) as of March 13, 2020. Hindi lang sa pinas madami ang cases. So plssss let’s just cooperate and follow. This is the  time for SOLIDARITY NOT STIGMA. "
"915","Initiatives: NSC, CAMP SC, and UPM USC.
Creatives: Alec Miranda
Information: Coalition for People's Right to Health, CNN Philippines

"
